name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
N. Usuyama,14,455.0,0.6902436476177057,201.0,3285,24,0.8482460985718315,136.875,,254.0,254.0
N. Dahlberg,3,852.0,0.6899893380587941,202.0,2271,7,0.9609640474436812,324.42857142857144,,650.0,650.0
Hayley Ross,1,945.0,0.6896666666666668,203.0,903,3,1.0,301.0,,742.0,742.0
Gabor Angeli,15,437.0,0.6895303938966318,204.0,6651,23,0.879561313310002,289.17391304347825,Square Inc,233.0,233.0
J. Finkel,14,455.0,0.6887416413685926,205.0,12350,23,0.8509553984313724,536.9565217391304,,250.0,250.0
Yunfan Shao,11,542.0,0.6886319293055329,206.0,2816,24,0.8668652429095505,117.33333333333331,Fudan University,336.0,336.0
Bridger Waleed Ammar,24,281.0,0.687534295724296,207.0,4258,52,0.884302848971962,81.88461538461539,Holistic Intelligence for Global Good (HIGG),74.0,74.0
Michael Schmitz,4,809.0,0.6873373891056898,208.0,2211,8,1.0,276.375,Allen Institute for AI,601.0,601.0
Zhi Zhang,11,542.0,0.6870793436960752,209.0,2224,13,0.8165982976888233,171.07692307692307,,333.0,333.0
Xiangyang Liu,10,570.0,0.6865415442795489,210.0,1985,15,0.910971521326466,132.33333333333334,Fudan University,360.0,360.0
Ryan Leary,10,570.0,0.6860877375762616,211.0,1533,12,0.9683925140412226,127.75,,359.0,359.0
Anna Schmidt,7,669.0,0.6858571428571429,212.0,1401,8,1.0,175.125,,457.0,457.0
Yongfeng Zhang,29,218.0,0.6857168850775698,213.0,3603,51,0.854035210059437,70.6470588235294,,5.0,5.0
José Camacho-Collados,35,159.0,0.6857019097639242,214.0,5568,121,0.8598224933524202,46.01652892561984,,-55.0,55.0
S. Ananiadou,63,48.0,0.6856148782930996,215.0,17782,531,0.8901596978384269,33.48775894538606,,-167.0,167.0
Dirk Hovy,43,111.0,0.6854951701094918,216.0,7212,141,0.8404360476182688,51.14893617021277,Bocconi University,-105.0,105.0
Mario Sanger,3,852.0,0.6853075834417338,217.0,2233,3,0.9999999999999998,744.3333333333334,,635.0,635.0
Ruibo Liu,21,321.0,0.6843832735372807,218.0,2815,39,0.8309357722393024,72.17948717948718,Google DeepMind,103.0,103.0
Diyi Yang,30,209.0,0.6838385885349011,219.0,3721,78,0.828454316056961,47.70512820512821,,-10.0,10.0
Emad Shihab,45,102.0,0.6831426225413273,220.0,6333,124,0.8743613120699167,51.07258064516129,,-118.0,118.0
Yusheng Su,15,437.0,0.6827903356526028,221.0,2217,26,0.8771945057051443,85.26923076923077,Tsinghua University,216.0,216.0
Dat Quoc Nguyen,33,182.0,0.6823430514678072,222.0,4668,75,0.945150413891968,62.24,,-40.0,40.0
Wojciech Kusa,6,704.0,0.6821119833292391,223.0,2336,30,0.9793596259794076,77.86666666666666,TU Wien,481.0,481.0
